Model,Epoch,Train Loss,Train Acc
BPNN_v1,46,1.005906105041504,0.4610191583633423
BPNN_v1,47,1.005866289138794,0.4610191583633423
BPNN_v1,48,1.0058701038360596,0.4610191583633423
BPNN_v1,49,1.0058166980743408,0.4610191583633423
BPNN_v1,50,1.005774974822998,0.4610191583633423
BPNN_v1,51,1.0058962106704712,0.4610191583633423
BPNN_v1,52,1.0058671236038208,0.4610191583633423
BPNN_v1,53,1.00579035282135,0.4610191583633423
BPNN_v1,54,1.005845308303833,0.4610191583633423
BPNN_v1,55,1.0058842897415161,0.4610191583633423
BPNN_v1,56,1.005832552909851,0.4610191583633423
BPNN_v1,57,1.0058964490890503,0.4610191583633423
BPNN_v1,58,1.0058001279830933,0.4610191583633423
BPNN_v1,59,1.0058629512786865,0.4610191583633423
BPNN_v1,60,1.0058811902999878,0.4610191583633423
BPNN_v1,61,1.0058598518371582,0.4610191583633423
BPNN_v1,62,1.0058563947677612,0.4610191583633423
BPNN_v1,63,1.005847454071045,0.4610191583633423
BPNN_v1,64,1.0058485269546509,0.4610191583633423
BPNN_v1,65,1.005839467048645,0.4610191583633423
BPNN_v1,66,1.0058406591415405,0.4610191583633423
BPNN_v1,67,1.0058073997497559,0.4610191583633423
BPNN_v1,68,1.0058164596557617,0.4610191583633423
BPNN_v1,69,1.0058666467666626,0.4610191583633423
BPNN_v1,70,1.0058342218399048,0.4610191583633423
BPNN_v1,71,1.0058156251907349,0.4610191583633423
BPNN_v1,72,1.0057744979858398,0.4610191583633423
BPNN_v1,73,1.0058900117874146,0.4610191583633423
BPNN_v1,74,1.0058090686798096,0.4610191583633423
BPNN_v1,75,1.0058666467666626,0.4610191583633423
BPNN_v1,76,1.0058234930038452,0.4610191583633423
BPNN_v1,77,1.0057955980300903,0.4610191583633423
BPNN_v1,78,1.0058612823486328,0.4610191583633423
BPNN_v1,79,1.0058096647262573,0.4610191583633423
BPNN_v1,80,1.0058977603912354,0.4610191583633423
BPNN_v1,81,1.0057942867279053,0.4610191583633423
BPNN_v1,82,1.0058544874191284,0.4610191583633423
BPNN_v1,83,1.0058356523513794,0.4610191583633423
BPNN_v1,84,1.005786657333374,0.4610191583633423
BPNN_v1,85,1.0058869123458862,0.4610191583633423
BPNN_v1,86,1.0058174133300781,0.4610191583633423
BPNN_v1,87,1.0058103799819946,0.4610191583633423
BPNN_v1,88,1.0058315992355347,0.4610191583633423
BPNN_v1,89,1.0058306455612183,0.4610191583633423
BPNN_v1,90,1.0058815479278564,0.4610191583633423
BPNN_v1,91,1.0058642625808716,0.4610191583633423
BPNN_v1,92,1.0058413743972778,0.4610191583633423
BPNN_v1,93,1.005842924118042,0.4610191583633423
BPNN_v1,94,1.0058252811431885,0.4610191583633423
BPNN_v1,95,1.0058050155639648,0.4610191583633423
BPNN_v1,96,1.0058480501174927,0.4610191583633423
BPNN_v1,97,1.0058401823043823,0.4610191583633423
BPNN_v1,98,1.0058887004852295,0.4610191583633423
BPNN_v1,99,1.0058497190475464,0.4610191583633423
BPNN_v1,100,1.005826473236084,0.4610191583633423
BPNN_v1,1,1.055877447128296,0.44894057512283325
BPNN_v1,2,1.0106714963912964,0.4529260993003845
BPNN_v1,3,1.0056304931640625,0.4592704176902771
BPNN_v1,4,0.9889684915542603,0.4615885019302368
BPNN_v1,5,0.9648061990737915,0.48102810978889465
BPNN_v1,6,0.9372723698616028,0.516369104385376
BPNN_v1,7,0.8985766768455505,0.552157461643219
BPNN_v1,8,0.8743540048599243,0.5722477436065674
BPNN_v1,9,0.8381408452987671,0.5969336032867432
BPNN_v1,10,0.8101755380630493,0.619870662689209
